id,start_x,start_y,end_x,end_y,towards_light
30,37,233,92,219,True
1,262,194,348,181,True
2,3,67,3,40,True
3,2,118,10,82,True
4,634,159,621,137,True
5,582,4,595,47,False
6,629,168,545,145,True
7,57,432,133,391,True
8,35,341,25,299,True
9,513,472,497,445,True
11,103,455,67,474,False
12,291,445,281,405,True
13,181,424,163,337,True
16,23,420,14,425,False
17,268,406,261,369,True
19,401,394,445,396,False
20,560,364,575,343,True
22,197,377,220,349,True
23,262,326,307,298,True
24,14,320,35,341,False
25,617,308,631,330,False
26,458,287,437,308,False
27,414,268,398,255,True
29,370,252,342,231,True
30,37,233,92,219,True
1,262,194,348,181,True
2,3,67,3,40,True
3,2,118,10,82,True
4,634,159,621,137,True
5,582,4,566,37,True
6,629,168,545,145,True
7,57,432,133,391,True
8,35,341,25,299,True
9,513,472,497,445,True
11,103,455,67,474,False
12,291,445,281,405,True
13,181,424,163,337,True
16,23,420,14,425,False
17,268,406,261,369,True
19,401,394,445,396,False
20,560,364,575,343,True
22,197,377,220,349,True
23,262,326,307,298,True
24,14,320,35,341,False
25,617,308,631,330,False
26,458,287,432,307,False
27,414,268,398,255,True
29,370,252,342,231,True
30,37,233,92,219,True
1,262,194,348,181,True
2,3,67,3,40,True
3,2,118,10,82,True
4,634,159,621,137,True
5,582,4,597,47,False
6,629,168,545,145,True
7,57,432,133,391,True
8,35,341,25,299,True
9,513,472,497,445,True
11,103,455,67,474,False
12,291,445,281,405,True
13,181,424,163,337,True
16,23,420,14,425,False
17,268,406,261,369,True
19,401,394,445,396,False
20,560,364,575,343,True
22,197,377,220,349,True
23,262,326,307,298,True
24,14,320,35,341,False
25,617,308,631,330,False
26,458,287,433,308,False
27,414,268,398,255,True
29,370,252,342,231,True
30,37,233,92,219,True
1,262,194,348,181,True
2,3,67,3,40,True
3,2,118,10,82,True
4,634,159,621,137,True
5,582,4,567,37,True
6,629,168,545,145,True
7,57,432,133,391,True
8,35,341,25,299,True
9,513,472,497,445,True
11,103,455,67,474,False
12,291,445,281,405,True
13,181,424,163,337,True
16,23,420,14,425,False
17,268,406,261,369,True
19,401,394,445,396,False
20,560,364,575,343,True
22,197,377,220,349,True
23,262,326,307,298,True
24,14,320,35,341,False
25,617,308,631,330,False
26,458,287,437,311,False
27,414,268,398,255,True
29,370,252,342,231,True
30,37,233,92,219,True
1,262,194,348,181,True
2,3,67,3,40,True
3,2,118,10,82,True
4,634,159,621,137,True
5,582,4,567,37,True
6,629,168,545,145,True
7,57,432,133,391,True
8,35,341,25,299,True
9,513,472,497,445,True
11,103,455,67,474,False
12,291,445,281,405,True
13,181,424,163,337,True
16,23,420,14,425,False
17,268,406,261,369,True
19,401,394,445,396,False
20,560,364,575,343,True
22,197,377,220,349,True
23,262,326,307,298,True
24,14,320,35,341,False
25,617,308,631,330,False
26,458,287,437,311,False
27,414,268,398,255,True
29,370,252,342,231,True
30,37,233,92,219,True
1,262,194,348,181,True
2,3,67,3,40,True
3,2,118,10,82,True
4,634,159,621,137,True
5,582,4,567,37,True
6,629,168,545,145,True
7,57,432,133,391,True
8,35,341,25,299,True
9,513,472,497,445,True
11,103,455,67,474,False
12,291,445,281,405,True
13,181,424,163,337,True
16,23,420,14,425,False
17,268,406,261,369,True
19,401,394,445,396,False
